,country,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),Unnamed: 0,beer mean
0,Albania,11.93229306302292,0,0.8864406779661018
1,Andorra,1.4244887516227818,1,3.1047619047619057
2,Armenia,89.31148510945353,2,0.3193548387096773
3,Austria,369.0104621776979,3,6.462295081967214
4,Azerbaijan,271.27907523813093,4,0.3548387096774192
5,Belarus,2580.928058914786,5,1.9242424242424243
6,Belgium,388.6375086436556,6,6.737931034482758
7,Bosnia and Herzegovina,216.45105913083995,7,2.970967741935484
8,Bulgaria,154.32965500175268,8,3.449999999999999
9,Croatia,254.4036077658318,9,4.532352941176471
10,Cyprus,6.534597714893374,10,2.745
11,Czechia,378.1357742569903,11,7.2
12,Denmark,645.4416201428377,12,6.168333333333335
13,Estonia,291.022527307255,13,4.735483870967742
14,Finland,586.9473155407284,14,3.7166666666666655
15,France,3352.950943601312,15,2.7216666666666662
16,Georgia,81.50332960736974,16,1.2935483870967746
17,Germany,5968.074290437505,17,7.80333333333333
18,Greece,35.33561838106592,18,2.47241379310345
19,Hungary,800.6200470628955,19,4.726666666666666
20,Iceland,6.547261486681472,20,2.405
21,Ireland,86.43098683487283,21,7.627586206896552
22,Israel,63.48907276069694,22,1.4649999999999987
23,Italy,386.3293161151902,23,1.6716666666666673
24,Kazakhstan,1256.3882887831485,24,2.12258064516129
25,Kyrgyzstan,451.6253673013197,25,1.2111111111111112
26,Latvia,385.66319472282896,26,3.480487804878048
27,Lithuania,631.1256914577747,27,4.870967741935482
28,Luxembourg,21.09919735779968,28,5.466666666666667
29,Malta,3.222852226475774,29,2.6783333333333337
30,Montenegro,11.920290270794345,31,5.98
31,Netherlands,337.7406882596088,32,4.991666666666666
32,North Macedonia,20.959726470555506,33,3.0000000000000004
33,Norway,262.17289681958306,34,3.1950000000000007
34,Poland,3747.0477669601178,35,3.765
35,Portugal,249.79301420355952,36,3.1666666666666665
36,Romania,1157.034324515139,38,3.6283333333333343
37,Serbia,420.339021724172,41,5.180952380952381
38,Slovakia,184.81288444300645,42,6.341666666666667
39,Slovenia,144.845825115279,43,5.485
40,Spain,429.7713992753698,44,4.369491525423729
41,Sweden,445.0803552755872,45,3.766666666666666
42,Switzerland,266.80623788948736,46,4.681818181818183
43,Tajikistan,172.4264915158385,47,1.831034482758621
44,Turkey,228.80295191861592,48,1.3199999999999992
45,Turkmenistan,177.02901180509917,49,2.0034482758620697
46,Ukraine,10664.066216204332,50,3.159523809523808
47,United Kingdom,1591.5783010842115,51,6.360000000000002
48,Uzbekistan,551.1431085417296,52,2.0965517241379312
