,country,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),beer mean,Wine mean,Spirit mean,Pure alcohol mean
0,Albania,259.98379621264456,0.8864406779661018,0.5966101694915253,1.1152542372881358,2.616949152542373
1,Andorra,9.091886124624034,3.1047619047619057,5.095238095238095,2.557142857142857,10.814285714285717
2,Armenia,759.8671984503579,0.3193548387096773,0.5580645161290323,2.651612903225807,3.400000000000001
3,Austria,2062.8540298359303,6.462295081967214,4.39344262295082,1.822950819672131,12.572131147540984
4,Azerbaijan,2483.1344120532062,0.3548387096774192,0.5096774193548386,0.7,1.283870967741935
5,Belarus,2080.992602302997,1.9242424242424243,0.7878787878787877,5.618181818181816,10.936585365853654
6,Belgium,1824.273874510568,6.737931034482758,3.0948275862068977,1.848275862068965,11.52413793103448
7,Bosnia and Herzegovina,659.2378407456164,2.970967741935484,0.6516129032258066,3.164516129032257,6.419354838709677
8,Bulgaria,1958.3273574373543,3.449999999999999,2.8310344827586205,3.963793103448276,10.003448275862064
9,Croatia,1454.5359879972025,4.532352941176471,5.352941176470588,2.0794117647058825,11.535294117647055
10,Cyprus,106.97713877229468,2.745,2.2333333333333343,3.498333333333332,8.148333333333332
11,Czechia,2143.0365954987483,7.2,2.401666666666666,3.6200000000000014,12.846666666666671
12,Denmark,985.2574329475804,6.168333333333335,3.005,1.7899999999999998,10.565
13,Estonia,276.0753604807997,4.735483870967742,1.6548387096774186,5.96774193548387,12.59354838709678
14,Finland,952.2073336125673,3.7166666666666655,1.398333333333334,1.753333333333334,7.943333333333331
15,France,11564.935032177653,2.7216666666666662,11.248333333333337,3.0466666666666664,16.674999999999997
16,Georgia,1283.4486965615563,1.2935483870967746,3.190322580645162,2.138709677419355,5.596774193548388
17,Germany,20856.492739862857,7.80333333333333,3.350000000000001,3.0800000000000005,13.636666666666668
18,Greece,1340.3775108987209,2.47241379310345,4.655172413793101,3.146551724137931,9.720689655172412
19,Hungary,5548.818307904178,4.726666666666666,4.526666666666668,4.485,13.093333333333334
20,Iceland,13.837610613795004,2.405,1.4066666666666667,2.655,5.784999999999999
21,Ireland,304.5868079489759,7.627586206896552,1.734482758620689,2.663793103448276,12.01551724137931
22,Israel,572.9123874707808,1.4649999999999987,1.0650000000000004,1.525,3.428333333333333
23,Italy,13556.155322680035,1.6716666666666673,10.113333333333337,1.8383333333333336,12.865000000000004
24,Kazakhstan,4663.767258072072,2.12258064516129,1.0322580645161292,4.474193548387096,6.067741935483872
25,Kyrgyzstan,1795.1201884446834,1.2111111111111112,1.0250000000000008,4.541666666666668,5.394444444444444
26,Latvia,417.0648040484654,3.480487804878048,2.0951219512195123,5.434146341463415,10.063414634146344
27,Lithuania,822.4614455057716,4.870967741935482,2.029032258064516,4.97741935483871,10.762162162162166
28,Luxembourg,89.7928308610615,5.466666666666667,7.506666666666669,3.26,15.285
29,Malta,38.0570592746288,2.6783333333333337,1.9099999999999997,2.2616666666666663,5.994999999999998
30,Montenegro,44.23669308779245,5.98,4.493333333333334,4.52,11.046666666666663
31,Netherlands,1607.7865406368426,4.991666666666666,2.6966666666666663,2.85,9.466666666666669
32,North Macedonia,189.8909608734912,3.0000000000000004,2.26896551724138,2.5620689655172404,5.565517241379309
33,Norway,351.00060544057186,3.1950000000000007,1.686666666666667,2.064999999999999,5.84
34,Poland,7250.476971297373,3.765,1.7149999999999996,5.015,9.326666666666666
35,Portugal,2632.0598174854385,3.1666666666666665,10.645,1.5600000000000007,14.435
36,Romania,10589.201447504069,3.6283333333333343,4.416666666666668,3.0316666666666654,9.931666666666668
37,Serbia,1425.987815773573,5.180952380952381,4.047619047619048,4.199999999999998,9.67619047619048
38,Slovakia,1571.680096082537,6.341666666666667,2.925,4.623333333333333,12.553333333333338
39,Slovenia,694.7936563642701,5.485,7.297500000000001,2.935,13.6725
40,Spain,8773.406929129615,4.369491525423729,6.903389830508475,3.922033898305083,13.732203389830508
41,Sweden,942.7083944107438,3.766666666666666,2.618333333333333,2.933333333333334,7.855000000000002
42,Switzerland,897.2805039131026,4.681818181818183,6.7254545454545465,2.976363636363637,12.947272727272727
43,Tajikistan,1151.472936289391,1.831034482758621,1.775862068965518,2.1206896551724133,2.493103448275862
44,Turkey,4187.934545917271,1.3199999999999992,0.9216666666666684,1.2333333333333332,1.8616666666666672
45,Turkmenistan,1525.6195649482531,2.0034482758620697,2.7689655172413787,2.613793103448274,3.986206896551725
46,Ukraine,16634.27731542371,3.159523809523808,1.9690476190476187,4.578571428571429,7.345238095238097
47,United Kingdom,7453.678128302131,6.360000000000002,2.703333333333336,2.724999999999999,10.431666666666668
48,Uzbekistan,8149.825836420709,2.0965517241379312,2.0379310344827597,3.26896551724138,3.810344827586207
