,country,Pure alcohol mean
0,Albania,2.616949152542373
1,Andorra,10.814285714285715
2,Armenia,3.4000000000000012
3,Austria,12.572131147540983
4,Azerbaijan,1.2838709677419353
5,Belarus,10.936585365853654
6,Belgium,11.524137931034481
7,Bosnia and Herzegovina,6.419354838709677
8,Bulgaria,10.003448275862063
9,Croatia,11.535294117647057
10,Cyprus,8.148333333333332
11,Czechia,12.846666666666671
12,Denmark,10.565000000000001
13,Estonia,12.59354838709678
14,Finland,7.943333333333331
15,France,16.674999999999997
16,Georgia,5.596774193548388
17,Germany,13.636666666666667
18,Greece,9.720689655172412
19,Hungary,13.093333333333334
20,Iceland,5.784999999999999
21,Ireland,12.01551724137931
22,Israel,3.428333333333333
23,Italy,12.865000000000004
24,Kazakhstan,6.067741935483872
25,Kyrgyzstan,5.394444444444444
26,Latvia,10.063414634146344
27,Lithuania,10.762162162162166
28,Luxembourg,15.285
29,Malta,5.994999999999998
30,Monaco,30.0
31,Montenegro,11.046666666666665
32,Netherlands,9.466666666666669
33,North Macedonia,5.565517241379309
34,Norway,5.84
35,Poland,9.326666666666666
36,Portugal,14.435
37,Republic of Moldova,10.510344827586211
38,Romania,9.931666666666667
39,Russian Federation,9.12413793103448
40,San Marino,40.0
41,Serbia,9.67619047619048
42,Slovakia,12.553333333333338
43,Slovenia,13.6725
44,Spain,13.732203389830508
45,Sweden,7.855000000000002
46,Switzerland,12.947272727272729
47,Tajikistan,2.493103448275862
48,Turkey,1.8616666666666672
49,Turkmenistan,3.9862068965517246
50,Ukraine,7.345238095238097
51,United Kingdom,10.431666666666668
52,Uzbekistan,3.810344827586207
53,WHO European Region,10.388235294117646
54,Members of the European Union,12.819607843137252
55,Members of the EU before May 2004 (EU15),13.201960784313725
56,Members of the EU after May 2004 (EU13),11.62941176470588
57,Commonwealth of Independent States,9.038709677419355
58,Central Asian Republics Information Network members (CARINFONET),4.948275862068964
59,South-eastern Europe Health Network members (SEEHN),9.641935483870965
60,Nordic countries,9.129411764705885
61,Small countries,10.511764705882353
