,country,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),Unnamed: 0,Pure alcohol mean
0,Albania,259.98379621264456,0,2.616949152542373
1,Andorra,9.091886124624034,1,10.814285714285717
2,Armenia,759.8671984503579,2,3.400000000000001
3,Austria,2062.8540298359303,3,12.572131147540984
4,Azerbaijan,2483.1344120532062,4,1.283870967741935
5,Belarus,2080.992602302997,5,10.936585365853654
6,Belgium,1824.273874510568,6,11.52413793103448
7,Bosnia and Herzegovina,659.2378407456164,7,6.419354838709677
8,Bulgaria,1958.3273574373543,8,10.003448275862064
9,Croatia,1454.5359879972025,9,11.535294117647055
10,Cyprus,106.97713877229468,10,8.148333333333332
11,Czechia,2143.0365954987483,11,12.846666666666671
12,Denmark,985.2574329475804,12,10.565
13,Estonia,276.0753604807997,13,12.59354838709678
14,Finland,952.2073336125673,14,7.943333333333331
15,France,11564.935032177653,15,16.674999999999997
16,Georgia,1283.4486965615563,16,5.596774193548388
17,Germany,20856.492739862857,17,13.636666666666668
18,Greece,1340.3775108987209,18,9.720689655172412
19,Hungary,5548.818307904178,19,13.093333333333334
20,Iceland,13.837610613795004,20,5.784999999999999
21,Ireland,304.5868079489759,21,12.01551724137931
22,Israel,572.9123874707808,22,3.428333333333333
23,Italy,13556.155322680035,23,12.865000000000004
24,Kazakhstan,4663.767258072072,24,6.067741935483872
25,Kyrgyzstan,1795.1201884446834,25,5.394444444444444
26,Latvia,417.0648040484654,26,10.063414634146344
27,Lithuania,822.4614455057716,27,10.762162162162166
28,Luxembourg,89.7928308610615,28,15.285
29,Malta,38.0570592746288,29,5.994999999999998
30,Montenegro,44.23669308779245,31,11.046666666666663
31,Netherlands,1607.7865406368426,32,9.466666666666669
32,North Macedonia,189.8909608734912,33,5.565517241379309
33,Norway,351.00060544057186,34,5.84
34,Poland,7250.476971297373,35,9.326666666666666
35,Portugal,2632.0598174854385,36,14.435
36,Romania,10589.201447504069,38,9.931666666666668
37,Serbia,1425.987815773573,41,9.67619047619048
38,Slovakia,1571.680096082537,42,12.553333333333338
39,Slovenia,694.7936563642701,43,13.6725
40,Spain,8773.406929129615,44,13.732203389830508
41,Sweden,942.7083944107438,45,7.855000000000002
42,Switzerland,897.2805039131026,46,12.947272727272727
43,Tajikistan,1151.472936289391,47,2.493103448275862
44,Turkey,4187.934545917271,48,1.8616666666666672
45,Turkmenistan,1525.6195649482531,49,3.986206896551725
46,Ukraine,16634.27731542371,50,7.345238095238097
47,United Kingdom,7453.678128302131,51,10.431666666666668
48,Uzbekistan,8149.825836420709,52,3.810344827586207
