,country,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),Unnamed: 0,Pure alcohol mean
0,Albania,11.93229306302292,0,2.616949152542373
1,Andorra,1.4244887516227818,1,10.814285714285717
2,Armenia,89.31148510945353,2,3.400000000000001
3,Austria,369.0104621776979,3,12.572131147540984
4,Azerbaijan,271.27907523813093,4,1.283870967741935
5,Belarus,2580.928058914786,5,10.936585365853654
6,Belgium,388.6375086436556,6,11.52413793103448
7,Bosnia and Herzegovina,216.45105913083995,7,6.419354838709677
8,Bulgaria,154.32965500175268,8,10.003448275862064
9,Croatia,254.4036077658318,9,11.535294117647055
10,Cyprus,6.534597714893374,10,8.148333333333332
11,Czechia,378.1357742569903,11,12.846666666666671
12,Denmark,645.4416201428377,12,10.565
13,Estonia,291.022527307255,13,12.59354838709678
14,Finland,586.9473155407284,14,7.943333333333331
15,France,3352.950943601312,15,16.674999999999997
16,Georgia,81.50332960736974,16,5.596774193548388
17,Germany,5968.074290437505,17,13.636666666666668
18,Greece,35.33561838106592,18,9.720689655172412
19,Hungary,800.6200470628955,19,13.093333333333334
20,Iceland,6.547261486681472,20,5.784999999999999
21,Ireland,86.43098683487283,21,12.01551724137931
22,Israel,63.48907276069694,22,3.428333333333333
23,Italy,386.3293161151902,23,12.865000000000004
24,Kazakhstan,1256.3882887831485,24,6.067741935483872
25,Kyrgyzstan,451.6253673013197,25,5.394444444444444
26,Latvia,385.66319472282896,26,10.063414634146344
27,Lithuania,631.1256914577747,27,10.762162162162166
28,Luxembourg,21.09919735779968,28,15.285
29,Malta,3.222852226475774,29,5.994999999999998
30,Montenegro,11.920290270794345,31,11.046666666666663
31,Netherlands,337.7406882596088,32,9.466666666666669
32,North Macedonia,20.959726470555506,33,5.565517241379309
33,Norway,262.17289681958306,34,5.84
34,Poland,3747.0477669601178,35,9.326666666666666
35,Portugal,249.79301420355952,36,14.435
36,Romania,1157.034324515139,38,9.931666666666668
37,Serbia,420.339021724172,41,9.67619047619048
38,Slovakia,184.81288444300645,42,12.553333333333338
39,Slovenia,144.845825115279,43,13.6725
40,Spain,429.7713992753698,44,13.732203389830508
41,Sweden,445.0803552755872,45,7.855000000000002
42,Switzerland,266.80623788948736,46,12.947272727272727
43,Tajikistan,172.4264915158385,47,2.493103448275862
44,Turkey,228.80295191861592,48,1.8616666666666672
45,Turkmenistan,177.02901180509917,49,3.986206896551725
46,Ukraine,10664.066216204332,50,7.345238095238097
47,United Kingdom,1591.5783010842115,51,10.431666666666668
48,Uzbekistan,551.1431085417296,52,3.810344827586207
