,country,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),Unnamed: 0,Spirit mean
0,Albania,259.98379621264456,0,1.1152542372881358
1,Andorra,9.091886124624034,1,2.557142857142857
2,Armenia,759.8671984503579,2,2.651612903225807
3,Austria,2062.8540298359303,3,1.822950819672131
4,Azerbaijan,2483.1344120532062,4,0.7
5,Belarus,2080.992602302997,5,5.618181818181816
6,Belgium,1824.273874510568,6,1.848275862068965
7,Bosnia and Herzegovina,659.2378407456164,7,3.164516129032257
8,Bulgaria,1958.3273574373543,8,3.963793103448276
9,Croatia,1454.5359879972025,9,2.0794117647058825
10,Cyprus,106.97713877229468,10,3.498333333333332
11,Czechia,2143.0365954987483,11,3.6200000000000014
12,Denmark,985.2574329475804,12,1.7899999999999998
13,Estonia,276.0753604807997,13,5.96774193548387
14,Finland,952.2073336125673,14,1.753333333333334
15,France,11564.935032177653,15,3.0466666666666664
16,Georgia,1283.4486965615563,16,2.138709677419355
17,Germany,20856.492739862857,17,3.0800000000000005
18,Greece,1340.3775108987209,18,3.146551724137931
19,Hungary,5548.818307904178,19,4.485
20,Iceland,13.837610613795004,20,2.655
21,Ireland,304.5868079489759,21,2.663793103448276
22,Israel,572.9123874707808,22,1.525
23,Italy,13556.155322680035,23,1.8383333333333336
24,Kazakhstan,4663.767258072072,24,4.474193548387096
25,Kyrgyzstan,1795.1201884446834,25,4.541666666666668
26,Latvia,417.0648040484654,26,5.434146341463415
27,Lithuania,822.4614455057716,27,4.97741935483871
28,Luxembourg,89.7928308610615,28,3.26
29,Malta,38.0570592746288,29,2.2616666666666663
30,Montenegro,44.23669308779245,31,4.52
31,Netherlands,1607.7865406368426,32,2.85
32,North Macedonia,189.8909608734912,33,2.5620689655172404
33,Norway,351.00060544057186,34,2.064999999999999
34,Poland,7250.476971297373,35,5.015
35,Portugal,2632.0598174854385,36,1.5600000000000007
36,Romania,10589.201447504069,38,3.0316666666666654
37,Serbia,1425.987815773573,41,4.199999999999998
38,Slovakia,1571.680096082537,42,4.623333333333333
39,Slovenia,694.7936563642701,43,2.935
40,Spain,8773.406929129615,44,3.922033898305083
41,Sweden,942.7083944107438,45,2.933333333333334
42,Switzerland,897.2805039131026,46,2.976363636363637
43,Tajikistan,1151.472936289391,47,2.1206896551724133
44,Turkey,4187.934545917271,48,1.2333333333333332
45,Turkmenistan,1525.6195649482531,49,2.613793103448274
46,Ukraine,16634.27731542371,50,4.578571428571429
47,United Kingdom,7453.678128302131,51,2.724999999999999
48,Uzbekistan,8149.825836420709,52,3.26896551724138
