,country,Spirit mean
0,Albania,1.1152542372881358
1,Andorra,2.557142857142857
2,Armenia,2.651612903225807
3,Austria,1.8229508196721307
4,Azerbaijan,0.7
5,Belarus,5.618181818181816
6,Belgium,1.848275862068965
7,Bosnia and Herzegovina,3.164516129032257
8,Bulgaria,3.963793103448276
9,Croatia,2.0794117647058825
10,Cyprus,3.498333333333332
11,Czechia,3.6200000000000014
12,Denmark,1.7899999999999998
13,Estonia,5.96774193548387
14,Finland,1.753333333333334
15,France,3.0466666666666664
16,Georgia,2.138709677419355
17,Germany,3.0800000000000005
18,Greece,3.146551724137931
19,Hungary,4.485
20,Iceland,2.6550000000000002
21,Ireland,2.663793103448276
22,Israel,1.525
23,Italy,1.8383333333333338
24,Kazakhstan,4.474193548387096
25,Kyrgyzstan,4.541666666666668
26,Latvia,5.434146341463415
27,Lithuania,4.97741935483871
28,Luxembourg,3.2599999999999993
29,Malta,2.2616666666666663
30,Monaco,30.0
31,Montenegro,4.52
32,Netherlands,2.8499999999999996
33,North Macedonia,2.5620689655172404
34,Norway,2.064999999999999
35,Poland,5.015
36,Portugal,1.5600000000000007
37,Republic of Moldova,5.758620689655173
38,Romania,3.0316666666666654
39,Russian Federation,5.641379310344828
40,San Marino,40.0
41,Serbia,4.199999999999998
42,Slovakia,4.623333333333333
43,Slovenia,2.9349999999999996
44,Spain,3.922033898305083
45,Sweden,2.933333333333334
46,Switzerland,2.976363636363637
47,Tajikistan,2.1206896551724133
48,Turkey,1.2333333333333332
49,Turkmenistan,2.6137931034482746
50,Ukraine,4.578571428571429
51,United Kingdom,2.724999999999999
52,Uzbekistan,3.2689655172413796
53,WHO European Region,3.964705882352941
54,Members of the European Union,3.7039215686274507
55,Members of the EU before May 2004 (EU15),3.3823529411764706
56,Members of the EU after May 2004 (EU13),4.94313725490196
57,Commonwealth of Independent States,6.187096774193549
58,Central Asian Republics Information Network members (CARINFONET),4.06896551724138
59,South-eastern Europe Health Network members (SEEHN),4.416129032258064
60,Nordic countries,2.9196078431372556
61,Small countries,3.8470588235294105
