,country,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),Unnamed: 0,Spirit mean
0,Albania,11.93229306302292,0,1.1152542372881358
1,Andorra,1.4244887516227818,1,2.557142857142857
2,Armenia,89.31148510945353,2,2.651612903225807
3,Austria,369.0104621776979,3,1.822950819672131
4,Azerbaijan,271.27907523813093,4,0.7
5,Belarus,2580.928058914786,5,5.618181818181816
6,Belgium,388.6375086436556,6,1.848275862068965
7,Bosnia and Herzegovina,216.45105913083995,7,3.164516129032257
8,Bulgaria,154.32965500175268,8,3.963793103448276
9,Croatia,254.4036077658318,9,2.0794117647058825
10,Cyprus,6.534597714893374,10,3.498333333333332
11,Czechia,378.1357742569903,11,3.6200000000000014
12,Denmark,645.4416201428377,12,1.7899999999999998
13,Estonia,291.022527307255,13,5.96774193548387
14,Finland,586.9473155407284,14,1.753333333333334
15,France,3352.950943601312,15,3.0466666666666664
16,Georgia,81.50332960736974,16,2.138709677419355
17,Germany,5968.074290437505,17,3.0800000000000005
18,Greece,35.33561838106592,18,3.146551724137931
19,Hungary,800.6200470628955,19,4.485
20,Iceland,6.547261486681472,20,2.655
21,Ireland,86.43098683487283,21,2.663793103448276
22,Israel,63.48907276069694,22,1.525
23,Italy,386.3293161151902,23,1.8383333333333336
24,Kazakhstan,1256.3882887831485,24,4.474193548387096
25,Kyrgyzstan,451.6253673013197,25,4.541666666666668
26,Latvia,385.66319472282896,26,5.434146341463415
27,Lithuania,631.1256914577747,27,4.97741935483871
28,Luxembourg,21.09919735779968,28,3.26
29,Malta,3.222852226475774,29,2.2616666666666663
30,Montenegro,11.920290270794345,31,4.52
31,Netherlands,337.7406882596088,32,2.85
32,North Macedonia,20.959726470555506,33,2.5620689655172404
33,Norway,262.17289681958306,34,2.064999999999999
34,Poland,3747.0477669601178,35,5.015
35,Portugal,249.79301420355952,36,1.5600000000000007
36,Romania,1157.034324515139,38,3.0316666666666654
37,Serbia,420.339021724172,41,4.199999999999998
38,Slovakia,184.81288444300645,42,4.623333333333333
39,Slovenia,144.845825115279,43,2.935
40,Spain,429.7713992753698,44,3.922033898305083
41,Sweden,445.0803552755872,45,2.933333333333334
42,Switzerland,266.80623788948736,46,2.976363636363637
43,Tajikistan,172.4264915158385,47,2.1206896551724133
44,Turkey,228.80295191861592,48,1.2333333333333332
45,Turkmenistan,177.02901180509917,49,2.613793103448274
46,Ukraine,10664.066216204332,50,4.578571428571429
47,United Kingdom,1591.5783010842115,51,2.724999999999999
48,Uzbekistan,551.1431085417296,52,3.26896551724138
