,country,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),Unnamed: 0,Wine mean
0,Albania,259.98379621264456,0,0.5966101694915253
1,Andorra,9.091886124624034,1,5.095238095238095
2,Armenia,759.8671984503579,2,0.5580645161290323
3,Austria,2062.8540298359303,3,4.39344262295082
4,Azerbaijan,2483.1344120532062,4,0.5096774193548386
5,Belarus,2080.992602302997,5,0.7878787878787877
6,Belgium,1824.273874510568,6,3.0948275862068977
7,Bosnia and Herzegovina,659.2378407456164,7,0.6516129032258066
8,Bulgaria,1958.3273574373543,8,2.8310344827586205
9,Croatia,1454.5359879972025,9,5.352941176470588
10,Cyprus,106.97713877229468,10,2.2333333333333343
11,Czechia,2143.0365954987483,11,2.401666666666666
12,Denmark,985.2574329475804,12,3.005
13,Estonia,276.0753604807997,13,1.6548387096774186
14,Finland,952.2073336125673,14,1.398333333333334
15,France,11564.935032177653,15,11.248333333333337
16,Georgia,1283.4486965615563,16,3.190322580645162
17,Germany,20856.492739862857,17,3.350000000000001
18,Greece,1340.3775108987209,18,4.655172413793101
19,Hungary,5548.818307904178,19,4.526666666666668
20,Iceland,13.837610613795004,20,1.4066666666666667
21,Ireland,304.5868079489759,21,1.734482758620689
22,Israel,572.9123874707808,22,1.0650000000000004
23,Italy,13556.155322680035,23,10.113333333333337
24,Kazakhstan,4663.767258072072,24,1.0322580645161292
25,Kyrgyzstan,1795.1201884446834,25,1.0250000000000008
26,Latvia,417.0648040484654,26,2.0951219512195123
27,Lithuania,822.4614455057716,27,2.029032258064516
28,Luxembourg,89.7928308610615,28,7.506666666666669
29,Malta,38.0570592746288,29,1.9099999999999997
30,Montenegro,44.23669308779245,31,4.493333333333334
31,Netherlands,1607.7865406368426,32,2.6966666666666663
32,North Macedonia,189.8909608734912,33,2.26896551724138
33,Norway,351.00060544057186,34,1.686666666666667
34,Poland,7250.476971297373,35,1.7149999999999996
35,Portugal,2632.0598174854385,36,10.645
36,Romania,10589.201447504069,38,4.416666666666668
37,Serbia,1425.987815773573,41,4.047619047619048
38,Slovakia,1571.680096082537,42,2.925
39,Slovenia,694.7936563642701,43,7.297500000000001
40,Spain,8773.406929129615,44,6.903389830508475
41,Sweden,942.7083944107438,45,2.618333333333333
42,Switzerland,897.2805039131026,46,6.7254545454545465
43,Tajikistan,1151.472936289391,47,1.775862068965518
44,Turkey,4187.934545917271,48,0.9216666666666684
45,Turkmenistan,1525.6195649482531,49,2.7689655172413787
46,Ukraine,16634.27731542371,50,1.9690476190476187
47,United Kingdom,7453.678128302131,51,2.703333333333336
48,Uzbekistan,8149.825836420709,52,2.0379310344827597
