,country,Wine mean
0,Albania,0.5966101694915253
1,Andorra,5.095238095238095
2,Armenia,0.5580645161290323
3,Austria,4.39344262295082
4,Azerbaijan,0.5096774193548386
5,Belarus,0.7878787878787877
6,Belgium,3.0948275862068977
7,Bosnia and Herzegovina,0.6516129032258066
8,Bulgaria,2.8310344827586205
9,Croatia,5.352941176470588
10,Cyprus,2.2333333333333343
11,Czechia,2.401666666666666
12,Denmark,3.005
13,Estonia,1.6548387096774186
14,Finland,1.3983333333333339
15,France,11.248333333333335
16,Georgia,3.190322580645162
17,Germany,3.350000000000001
18,Greece,4.655172413793101
19,Hungary,4.526666666666668
20,Iceland,1.4066666666666667
21,Ireland,1.734482758620689
22,Israel,1.0650000000000004
23,Italy,10.113333333333335
24,Kazakhstan,1.0322580645161292
25,Kyrgyzstan,1.0250000000000008
26,Latvia,2.0951219512195123
27,Lithuania,2.029032258064516
28,Luxembourg,7.506666666666669
29,Malta,1.9099999999999995
30,Monaco,30.0
31,Montenegro,4.493333333333334
32,Netherlands,2.6966666666666663
33,North Macedonia,2.2689655172413796
34,Norway,1.686666666666667
35,Poland,1.7149999999999996
36,Portugal,10.645
37,Republic of Moldova,4.551724137931035
38,Romania,4.416666666666668
39,Russian Federation,1.91551724137931
40,San Marino,40.0
41,Serbia,4.047619047619048
42,Slovakia,2.925
43,Slovenia,7.297500000000001
44,Spain,6.903389830508475
45,Sweden,2.618333333333333
46,Switzerland,6.7254545454545465
47,Tajikistan,1.775862068965518
48,Turkey,0.9216666666666684
49,Turkmenistan,2.7689655172413787
50,Ukraine,1.9690476190476187
51,United Kingdom,2.703333333333336
52,Uzbekistan,2.0379310344827593
53,WHO European Region,4.1313725490196065
54,Members of the European Union,5.688235294117646
55,Members of the EU before May 2004 (EU15),6.317647058823529
56,Members of the EU after May 2004 (EU13),3.6215686274509786
57,Commonwealth of Independent States,2.519354838709677
58,Central Asian Republics Information Network members (CARINFONET),2.289655172413794
59,South-eastern Europe Health Network members (SEEHN),4.090322580645161
60,Nordic countries,3.170588235294118
61,Small countries,4.184313725490195
